Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.56(indicador)-11.74(médio);6.10(indicador)-5.75(médio);7.37(indicador)-6.51(médio);6.60(indicador)-5.47(médio);
Adução/Abdução,Mindinho,6.69204840782603(metacarpo mindinho)-19.1191213417223(palma);4.29582473393568(metacarpo mindinho)-12.0739470409914(palma);7.72768691096735(metacarpo mindinho)-20.2912791008739(palma);4.20426007424415(metacarpo mindinho)-12.9707892738712(palma);

