Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Mindinho,20.54(metacarpo mindinho)-13.77(palma);9.39(metacarpo mindinho)-9.86(palma);14.73(metacarpo mindinho)-10.22(palma);9.93(metacarpo mindinho)-26.82(palma);10.49(metacarpo mindinho)-32.76(palma);10.10(metacarpo mindinho)-7.80(palma);10.07(metacarpo mindinho)-17.55(palma);12.43(metacarpo mindinho)-9.61(palma);
Pinça,Anelar,65.78;68.44;64.56;71.32;111.82;72.00;59.39;

