Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Anelar,12.13(palma) - 11.25(metacarpo);12.47(palma) - 11.40(metacarpo);11.61(palma) - 10.06(metacarpo);9.08(palma) - 10.20(metacarpo);11.97(palma) - 13.88(metacarpo);
Extensão,Mindinho,10.72;10.30;10.62;11.82;14.76;
Pinça,Médio,41.93;43.94;55.89;50.33;

