Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.59(indicador)-13.20(médio);9.32(indicador)-12.46(médio);9.54(indicador)-8.60(médio);9.52(indicador)-9.67(médio);
Adução/Abdução,Médio,7.24(palma)-7.26(médio);7.24(palma)-7.74(médio);7.95(palma)-12.15(médio);7.21(palma)-10.17(médio);
Adução/Abdução,Anelar,9.49(palma) - 8.07(metacarpo);13.71(palma) - 10.47(metacarpo);14.03(palma) - 10.81(metacarpo);13.97(palma) - 11.21(metacarpo);
Adução/Abdução,Mindinho,11.97(metacarpo mindinho)-22.61(palma);19.19(metacarpo mindinho)-29.03(palma);18.53(metacarpo mindinho)-29.46(palma);13.85(metacarpo mindinho)-27.15(palma);

