Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.75(indicador)-13.51(médio);10.82(indicador)-9.99(médio);8.05(indicador)-10.55(médio);8.68(indicador)-9.77(médio);8.57(indicador)-9.38(médio);
Adução/Abdução,Médio,9.29(palma)-4.15(médio);8.17(palma)--1.57(médio);8.68(palma)--3.04(médio);8.14(palma)--1.20(médio);8.09(palma)-0.73(médio);

