Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,13.58(indicador)-11.32(médio);9.75(indicador)-8.94(médio);9.88(indicador)-11.45(médio);9.80(indicador)-11.59(médio);9.04(indicador)-1.48(médio);
Adução/Abdução,Médio,15.04(palma)-16.00(médio);9.31(palma)-12.20(médio);9.58(palma)-16.82(médio);9.17(palma)-3.40(médio);9.03(palma)--0.84(médio);

