Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,15.99(indicador)-18.09(médio);13.53(indicador)-21.72(médio);15.58(indicador)-15.77(médio);
Adução/Abdução,Anelar,13.56(palma) - 13.87(metacarpo);13.15(palma) - 12.12(metacarpo);13.47(palma) - 12.17(metacarpo);70.33(palma) - 18.79(metacarpo);
Pinça,Indicador,67.67;59.31;54.39;56.91;51.04;59.59;

