Exercício,Dedo,Ângulos obtidos
Pinça,Indicador,73.25;66.27;75.61;63.79;63.78;
Pinça,Médio,78.60;79.46;94.02;77.54;
Pinça,Anelar,77.23;79.51;82.66;78.12;
Pinça,Mindinho,21.67;26.46;0.14;7.20;

