Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Mindinho,11.6820606793989(metacarpo mindinho)-4.5006719198409(palma);9.01887778856695(metacarpo mindinho)-7.26068981493603(palma);11.7686563766075(metacarpo mindinho)-4.86956957287413(palma);14.5965270765767(metacarpo mindinho)-11.6309981865848(palma);9.07549578634258(metacarpo mindinho)-8.69436355729903(palma);
Extensão,Indicador,3.00534462287681;3.98000576012605;3.57127359118815;3.37500811084942;3.35365694009811;

