Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,10.35(indicador)-3.30(médio);11.68(indicador)-4.48(médio);10.24(indicador)-8.24(médio);10.04(indicador)-6.22(médio);11.03(indicador)-18.52(médio);
Adução/Abdução,Anelar,10.47(palma) - 7.92(metacarpo);11.57(palma) - 11.69(metacarpo);11.37(palma) - 14.36(metacarpo);10.15(palma) - 19.89(metacarpo);11.44(palma) - 12.50(metacarpo);
Extensão,Indicador,16.21(normal da palma) - (projeção vetorial): 34.70;12.05(normal da palma) - (projeção vetorial): 28.57;24.86(normal da palma) - (projeção vetorial): 28.26;12.15(normal da palma) - (projeção vetorial): 15.76;10.72(normal da palma) - (projeção vetorial): 12.06;

