Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,12.91(indicador)-15.79(médio);12.49(indicador)-14.47(médio);13.53(indicador)-15.80(médio);13.73(indicador)-16.42(médio);13.44(indicador)-16.84(médio);
Adução/Abdução,Anelar,3.74(palma) - 8.56(metacarpo);3.83(palma) - 8.25(metacarpo);4.22(palma) - 8.61(metacarpo);10.81(palma) - 10.12(metacarpo);4.45(palma) - 8.85(metacarpo);

