Exercício,Dedo,Ângulos obtidos
Extensão,Indicador,3.67219646355582;3.29776550367521;3.00303601900158;
Pinça,Indicador,57.5351282311063;57.8935970393407;65.3347122725974;65.827995350918;
Pinça,Médio,
Pinça,Anelar,
Pinça,Mindinho,

