Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,36.9398647394909(indicador)-34.3305515491438(médio);20.0781857424359(indicador)-8.83204223788865(médio);23.5557593861026(indicador)-26.7388477243518(médio);49.0583582730095(indicador)-45.9918390625338(médio);
Adução/Abdução,Médio,9.59304481856172(palma)-1.31282948547048(médio);3.44452129197578(palma)--2.33704165163076(médio);4.46523775318657(palma)--3.35590179554285(médio);3.7334470370071(palma)-0.922246836199546(médio);
Adução/Abdução,Anelar,40.1215614267354(palma) - 43.7985492678607(metacarpo);34.974501766173(palma) - 43.77699319144(metacarpo);8.99957652828324(palma) - 1.51942612467599(metacarpo);8.61547914344877(palma) - 2.31899963629244(metacarpo);
Adução/Abdução,Mindinho,4.10116818998854(metacarpo mindinho)-18.9809654016777(palma);3.50252240301985(metacarpo mindinho)-13.4152288170227(palma);4.96021258394018(metacarpo mindinho)-21.1201959581218(palma);4.42929900632134(metacarpo mindinho)-14.2583678352741(palma);

