Exercício,Dedo,Ângulos obtidos
Extensão,Médio,9.64(normal da palma) - 9.76(projeção vetorial);9.00(normal da palma) - 9.08(projeção vetorial);9.14(normal da palma) - 9.25(projeção vetorial);9.02(normal da palma) - 9.51(projeção vetorial);9.60(normal da palma) - 9.76(projeção vetorial);
Extensão,Anelar,9.44(normal da palma) - 16.47(projeção vetorial);9.12(normal da palma) - 16.51(projeção vetorial);9.07(normal da palma) - 17.22(projeção vetorial);9.06(normal da palma) - 17.11(projeção vetorial);9.45(normal da palma) - 16.43(projeção vetorial);
Extensão,Mindinho,9.03(normal da palma) - 17.42(projeção vetorial);9.15(normal da palma) - 16.73(projeção vetorial);9.16(normal da palma) - 15.73(projeção vetorial);9.15(normal da palma) - 16.94(projeção vetorial);9.04(normal da palma) - 16.57(projeção vetorial);

