Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,9.29(indicador)-5.94(médio);11.13(indicador)-8.37(médio);10.93(indicador)-6.44(médio);10.17(indicador)-6.64(médio);8.13(indicador)-3.37(médio);
Adução/Abdução,Médio,8.06(palma)--1.45(médio);8.23(palma)--3.79(médio);8.84(palma)--2.26(médio);8.20(palma)--3.28(médio);8.40(palma)--2.01(médio);

