Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.63(indicador)-19.09(médio);6.22(indicador)-9.40(médio);6.15(indicador)-10.23(médio);6.57(indicador)-3.88(médio);
Adução/Abdução,Médio,6.24(palma)-0.86(médio);6.16(palma)-12.27(médio);6.16(palma)-12.69(médio);6.43(palma)-12.75(médio);
Adução/Abdução,Anelar,8.01(palma) - 10.21(metacarpo);6.00(palma) - 9.80(metacarpo);6.19(palma) - 9.25(metacarpo);6.54(palma) - 9.33(metacarpo);
Adução/Abdução,Mindinho,8.69580984981553(metacarpo mindinho)-20.0734507139255(palma);7.01509286780283(metacarpo mindinho)-9.3064116691502(palma);6.5216736125894(metacarpo mindinho)-16.1634646361274(palma);6.26681962495432(metacarpo mindinho)-12.0955116551483(palma);

