Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,12.38(indicador)-20.27(médio);12.34(indicador)-16.66(médio);12.02(indicador)-13.66(médio);13.03(indicador)-15.64(médio);12.65(indicador)-15.49(médio);
Adução/Abdução,Mindinho,10.71(metacarpo mindinho)-11.59(palma);12.49(metacarpo mindinho)-10.30(palma);10.34(metacarpo mindinho)-11.50(palma);10.81(metacarpo mindinho)-11.88(palma);10.05(metacarpo mindinho)-22.40(palma);
Extensão,Mindinho,8.96;9.65;8.05;

