Exercício,Dedo,Ângulos obtidos
Extensão,Indicador,3.15957029004397;9.13578074182684;4.12782471003003;4.12873312516436;
Pinça,Indicador,58.2384191299933;56.8795325418662;57.9987273081201;60.7364992777075;
Pinça,Médio,66.2677707287698;58.9588196522751;57.688479634084;54.5433893446775;
Pinça,Anelar,64.4462481202751;74.1278497540563;74.1206643952494;74.6308931724293;
Pinça,Mindinho,19.1645079474941;18.2894941448205;17.0708330439989;14.689229816507;

