Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Médio,17.11(palma)-12.57(médio);15.49(palma)-16.44(médio);17.64(palma)-18.60(médio);18.04(palma)-15.27(médio);
Adução/Abdução,Mindinho,15.15(metacarpo mindinho)-34.25(palma);10.38(metacarpo mindinho)-22.48(palma);12.63(metacarpo mindinho)-21.59(palma);11.93(metacarpo mindinho)-17.99(palma);9.88(metacarpo mindinho)-26.41(palma);15.28(metacarpo mindinho)-30.11(palma);
Extensão,Mindinho,13.45;10.36;19.89;10.37;11.28;
Pinça,Médio,62.67;63.36;59.18;59.74;
Pinça,Anelar,65.16;67.22;65.38;61.99;

