Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,12.2834869936126(indicador)-6.91196725948913(médio);12.6336818816715(indicador)-6.11888285429044(médio);11.5635218958783(indicador)-4.09304239953646(médio);11.5427529987376(indicador)-4.53729795447224(médio);
Adução/Abdução,Médio,9.39730697032169(palma)-7.92900303146554(médio);5.96525653620626(palma)-7.15417614829706(médio);6.68005160776957(palma)-7.7387532400709(médio);9.44475117052364(palma)-19.955750051511(médio);
Adução/Abdução,Anelar,16.1426581729472(palma) - 6.54016933746029(metacarpo);21.6124818288514(palma) - 11.1324319570882(metacarpo);15.0720362956242(palma) - 5.35587860135944(metacarpo);16.6148137692056(palma) - 6.59255133740792(metacarpo);
Adução/Abdução,Mindinho,18.5030639089399(metacarpo mindinho)-24.7783239399262(palma);3.07013771653122(metacarpo mindinho)-17.8038916140078(palma);2.69093650997834(metacarpo mindinho)-17.4101158513887(palma);3.54431056641619(metacarpo mindinho)-18.8614831983043(palma);
Extensão,Indicador,4.28912645298041;3.2168141038849;7.82830498615179;

