Exercício,Dedo,Ângulos obtidos
Pinça,Indicador,53.08;49.06;44.60;51.98;
Pinça,Médio,62.11;60.20;60.22;62.03;
Pinça,Anelar,61.02;60.27;62.15;59.00;
Pinça,Mindinho,23.18;23.88;19.43;21.31;

