Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,15.99(indicador)-18.09(médio);13.53(indicador)-21.72(médio);15.58(indicador)-15.77(médio);
Adução/Abdução,Anelar,13.56(palma) - 13.87(metacarpo);13.15(palma) - 12.12(metacarpo);13.47(palma) - 12.17(metacarpo);70.33(palma) - 18.79(metacarpo);
Pinça,Indicador,67.67;59.31;54.39;56.91;51.04;59.59;
Exercício,Dedo,Ângulos obtidos
Extensão,Indicador,10.91(normal da palma) - (projeção vetorial): 13.95;10.07(normal da palma) - (projeção vetorial): 12.57;11.18(normal da palma) - (projeção vetorial): 12.49;
Extensão,Anelar,7.72;7.43;6.72;

