Exercício,Dedo,Ângulos obtidos
Pinça,Indicador,48.28;55.04;52.45;55.38;47.47;
Pinça,Médio,62.77;61.34;60.39;63.32;57.91;
Pinça,Anelar,65.25;63.62;70.75;64.16;64.91;
Pinça,Mindinho,77.18;60.00;67.80;45.56;71.49;

