Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,
Adução/Abdução,Médio,
Adução/Abdução,Anelar,
Adução/Abdução,Mindinho,
Extensão,Indicador,
Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,4.6024498464915;5.36085225959727;6.96514241513206;5.07628353480494;6.26954102837602;
Adução/Abdução,Médio,11.0110962111803;4.11856083933916;4.21100915472996;5.22730968532181;5.00722904355725;
Adução/Abdução,Anelar,4.1143265490584;4.10474806278765;4.10923037430574;4.03648075081991;4.03997225804909;
Adução/Abdução,Mindinho,4.00110336011147;3.72441539274156;3.9533927825393;3.80585728547799;3.56661369475658;
Extensão,Indicador,23.2913542329527;9.07719138075686;5.80175376485708;

