Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,15.43(indicador)-15.79(médio);11.10(indicador)-11.25(médio);10.34(indicador)-11.66(médio);11.03(indicador)-11.38(médio);11.11(indicador)-11.25(médio);
Adução/Abdução,Médio,11.12(palma)--2.48(médio);10.97(palma)-1.14(médio);12.90(palma)-0.62(médio);13.46(palma)-2.03(médio);10.27(palma)-0.35(médio);
Adução/Abdução,Anelar,12.89(palma) - 10.34(metacarpo);13.70(palma) - 10.48(metacarpo);12.90(palma) - 10.11(metacarpo);15.10(palma) - 11.29(metacarpo);13.60(palma) - 10.23(metacarpo);
Adução/Abdução,Mindinho,10.35(metacarpo mindinho)-3.62(palma);12.61(metacarpo mindinho)-7.80(palma);11.26(metacarpo mindinho)-6.68(palma);11.34(metacarpo mindinho)-6.69(palma);13.77(metacarpo mindinho)-9.05(palma);
Pinça,Médio,57.23;67.84;66.49;55.74;55.46;

