Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,11.75(indicador)-3.92(médio);10.61(indicador)-7.82(médio);9.15(indicador)-12.49(médio);9.20(indicador)-1.54(médio);9.44(indicador)-12.03(médio);10.32(indicador)-3.30(médio);
Adução/Abdução,Médio,10.05(palma)-0.74(médio);9.05(palma)-1.01(médio);9.06(palma)-0.75(médio);9.10(palma)-1.38(médio);9.18(palma)-3.77(médio);

