Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,4.01561366971255;4.02136383506004;4.0307032647165;4.0209258491917;4.00643474949713;4.00027135771635;
Adução/Abdução,Médio,4.07515669591885;4.02958567504465;

