Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Anelar,19.7239721419359 - 8.80444144422069;19.1685445891812 - 8.24304942893928;21.2092411318534 - 11.0355115754628;
Adução/Abdução,Mindinho,3.28711851971591;3.07828869330516;3.44605573661881;
Extensão,Indicador,4.70923088656991;4.78549677671998;3.63694585823032;

