Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Médio,14.00(palma)-5.16(médio);8.07(palma)-1.38(médio);8.69(palma)-0.77(médio);8.47(palma)-2.57(médio);8.20(palma)--1.93(médio);8.88(palma)-1.02(médio);
Adução/Abdução,Anelar,10.08(palma) - 11.14(metacarpo);12.28(palma) - 15.46(metacarpo);8.61(palma) - 12.18(metacarpo);10.76(palma) - 10.54(metacarpo);10.66(palma) - 10.35(metacarpo);9.76(palma) - 12.37(metacarpo);

