Exercício,Dedo,Ângulos obtidos
Extensão,Médio,8.34;8.05;8.31;8.55;
Extensão,Anelar,8.55;8.01;8.00;8.07;
Extensão,Mindinho,8.34;8.39;8.13;8.08;

