Exercício,Dedo,Ângulos obtidos
Extensão,Indicador,10.94(normal da palma) - (projeção vetorial): 12.40;10.80(normal da palma) - (projeção vetorial): 14.01;10.10(normal da palma) - (projeção vetorial): 10.48;10.24(normal da palma) - (projeção vetorial): 14.04;
Extensão,Médio,10.40;10.25;10.07;10.28;
Pinça,Indicador,66.21;46.78;24.49;59.00;0.05;44.96;69.33;66.69;72.68;69.97;

