Exercício,Dedo,Ângulos obtidos
Extensão,Indicador,3.10897225008054;4.52887974655445;6.92667905966512;3.79225069525633;
Pinça,Médio,51.7422400515452;58.3028141516962;53.0831393369936;
Pinça,Anelar,49.4619029134171;60.233298764988;58.4231620815229;
Pinça,Mindinho,25.1312124837641;45.7239897865907;26.4105102948023;

