Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Médio,13.74(palma)--0.50(médio);12.30(palma)--2.78(médio);12.42(palma)--2.44(médio);12.28(palma)-5.20(médio);
Adução/Abdução,Anelar,3.73(palma) - 11.98(metacarpo);4.44(palma) - 12.43(metacarpo);2.35(palma) - 9.18(metacarpo);0.68(palma) - 10.41(metacarpo);
Pinça,Médio,63.90;66.35;64.70;68.65;

