Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,12.25(indicador)-4.46(médio);10.31(indicador)-10.73(médio);10.82(indicador)-4.32(médio);10.16(indicador)-4.27(médio);10.62(indicador)-12.82(médio);
Adução/Abdução,Médio,11.35(palma)-3.98(médio);10.20(palma)-4.96(médio);10.05(palma)-1.82(médio);11.24(palma)--1.04(médio);11.45(palma)--0.86(médio);
Adução/Abdução,Anelar,10.17(palma) - 20.84(metacarpo);10.93(palma) - 21.69(metacarpo);10.11(palma) - 12.86(metacarpo);11.33(palma) - 2.80(metacarpo);10.14(palma) - 7.92(metacarpo);
Adução/Abdução,Mindinho,11.62(metacarpo mindinho)-18.85(palma);11.13(metacarpo mindinho)-9.95(palma);10.59(metacarpo mindinho)-10.72(palma);10.62(metacarpo mindinho)-2.65(palma);16.07(metacarpo mindinho)-7.84(palma);
Extensão,Indicador,8.44(normal da palma) - (projeção vetorial): 9.74;9.92(normal da palma) - (projeção vetorial): 12.60;8.29(normal da palma) - (projeção vetorial): 10.51;9.14(normal da palma) - (projeção vetorial): 10.69;
Extensão,Médio,8.77;8.02;8.11;8.43;
Extensão,Anelar,8.24;8.64;10.66;8.12;
Extensão,Mindinho,8.09;8.15;8.18;8.09;

