Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.69(indicador)-20.21(médio);18.12(indicador)-18.83(médio);19.78(indicador)-20.66(médio);18.57(indicador)-19.41(médio);18.30(indicador)-19.13(médio);
Adução/Abdução,Médio,14.04(palma)--4.87(médio);14.30(palma)-0.15(médio);14.32(palma)--0.23(médio);14.15(palma)--2.94(médio);14.62(palma)--4.72(médio);

