Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,9.24(indicador)-9.66(médio);10.22(indicador)-10.52(médio);9.21(indicador)-10.31(médio);9.03(indicador)-9.76(médio);9.13(indicador)-9.41(médio);9.16(indicador)-9.69(médio);
Pinça,Indicador,64.45;71.81;69.58;69.99;77.77;
Pinça,Médio,73.20;75.31;69.29;70.29;68.54;

