Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.68(indicador)-11.84(médio);9.95(indicador)-4.96(médio);8.67(indicador)-2.73(médio);9.34(indicador)-6.80(médio);8.46(indicador)-6.76(médio);
Adução/Abdução,Médio,5.00(palma)-1.55(médio);5.64(palma)--3.56(médio);5.18(palma)--2.25(médio);5.49(palma)--2.68(médio);6.06(palma)--2.56(médio);

