Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,4.51409964448866;4.16499374468526;4.07424358502959;4.14680409765804;
Adução/Abdução,Médio,4.06611224504897;4.08207098160061;4.00271827291841;4.00609281316132;

