Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,12.82(indicador)-6.37(médio);9.68(indicador)-5.41(médio);9.15(indicador)-9.47(médio);9.17(indicador)-14.68(médio);9.02(indicador)-9.13(médio);9.71(indicador)-1.86(médio);
Adução/Abdução,Médio,9.43(palma)--2.84(médio);9.10(palma)-0.01(médio);11.70(palma)--1.52(médio);10.10(palma)--0.05(médio);11.47(palma)-1.37(médio);9.75(palma)-1.48(médio);

