Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,4.11280299002906;4.31710888345762;4.22410390766495;4.46501833336559;4.19922579807912;4.02443058991204;
Adução/Abdução,Médio,4.147181892486;4.00540808671608;

