Exercício,Dedo,Ângulos obtidos
Pinça,Indicador,61.1042229920098;63.3232079576255;38.7090476098323;49.1634987870723;55.3616118335301;
Pinça,Médio,58.7191210002129;54.2349960669495;58.0328850832088;
Pinça,Anelar,62.6274712477503;65.3948725771328;52.591201805902;
Pinça,Mindinho,60.8335426027346;88.231377205155;0.788078623728304;

