Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.91(indicador)-22.11(médio);13.41(indicador)-19.84(médio);11.85(indicador)-17.57(médio);17.00(indicador)-21.14(médio);10.57(indicador)-13.44(médio);
Adução/Abdução,Médio,10.08(palma)-1.74(médio);10.02(palma)-0.68(médio);10.15(palma)-4.83(médio);10.39(palma)-1.40(médio);10.13(palma)-4.20(médio);
Adução/Abdução,Anelar,8.87(palma) - 10.29(metacarpo);9.63(palma) - 10.91(metacarpo);10.97(palma) - 10.48(metacarpo);9.11(palma) - 10.06(metacarpo);11.73(palma) - 10.24(metacarpo);
Adução/Abdução,Mindinho,10.21(metacarpo mindinho)-6.23(palma);10.22(metacarpo mindinho)-10.17(palma);11.19(metacarpo mindinho)-9.18(palma);10.11(metacarpo mindinho)-10.40(palma);10.15(metacarpo mindinho)-8.60(palma);

