Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,16.03(indicador)-16.16(médio);12.96(indicador)-13.50(médio);14.45(indicador)-15.36(médio);12.58(indicador)-13.98(médio);15.37(indicador)-17.83(médio);
Adução/Abdução,Anelar,14.21(palma) - 12.44(metacarpo);13.51(palma) - 12.82(metacarpo);11.40(palma) - 12.01(metacarpo);12.74(palma) - 12.12(metacarpo);13.11(palma) - 16.32(metacarpo);

