Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,9.30(indicador)-10.01(médio);9.72(indicador)-11.60(médio);9.23(indicador)-12.78(médio);12.39(indicador)-13.85(médio);9.98(indicador)-12.87(médio);
Adução/Abdução,Anelar,7.19(palma) - 9.28(metacarpo);7.64(palma) - 9.25(metacarpo);8.53(palma) - 10.06(metacarpo);11.39(palma) - 9.25(metacarpo);5.47(palma) - 9.17(metacarpo);
Extensão,Médio,9.27;9.86;9.25;9.11;9.26;9.06;

