Exercício,Dedo,Ângulos obtidos
Pinça,Indicador,45.71;54.13;50.63;61.77;53.44;
Pinça,Médio,60.16;65.95;59.84;65.69;64.76;
Pinça,Anelar,78.33;63.49;63.33;65.88;69.75;
Pinça,Mindinho,26.04;23.12;32.61;26.80;28.79;

