Exercício,Dedo,Ângulos obtidos
Adução/Abdução,Indicador,19.41(indicador)-12.08(médio);10.70(indicador)-17.23(médio);10.14(indicador)-14.31(médio);10.99(indicador)-7.54(médio);
Adução/Abdução,Médio,11.00(palma)--1.35(médio);10.78(palma)-5.73(médio);10.48(palma)-6.35(médio);10.07(palma)-13.71(médio);
Adução/Abdução,Anelar,10.17(palma) - 10.32(metacarpo);10.10(palma) - 5.83(metacarpo);10.26(palma) - 0.82(metacarpo);10.74(palma) - 3.52(metacarpo);
Adução/Abdução,Mindinho,11.83(metacarpo mindinho)-13.36(palma);10.56(metacarpo mindinho)-7.94(palma);10.67(metacarpo mindinho)-6.78(palma);10.34(metacarpo mindinho)-8.53(palma);

